,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId
4865,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597044274412:b207176a-b52b-4f44-be9b-8636f117e4f1,1597044274412:dc43c221-34ba-46ef-99dc-ae542ec61e86
4937,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes,1597044274411:839bcd50-e6c3-48fa-9b34-19d43fc6a855,1597044274412:8e485625-3a1e-45f6-b7f8-cf9f8d17d314
5579,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",No,1597044274406:042a4c6b-153e-48dd-9281-5548748b3d26,1597044274406:e5d9f0c3-0558-432a-a6a7-cb9c5f88a610
5580,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597044274406:042a4c6b-153e-48dd-9281-5548748b3d26,1597044274406:e5d9f0c3-0558-432a-a6a7-cb9c5f88a610
5581,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""pop""",No,1597044274406:042a4c6b-153e-48dd-9281-5548748b3d26,1597044274406:e5d9f0c3-0558-432a-a6a7-cb9c5f88a610
6277,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",No,1597044274400:31b818ef-cf1d-4eb8-b3ce-5bffdea2834f,1597044274400:aac8ac45-44a5-47ad-a678-4278fc014657
6325,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",No,1597044274399:bb057422-d2e7-4575-92a2-5af226fc2927,1597044274399:d157b384-8333-42c2-a942-e4185ea8b8df
7517,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""",Yes,1597044274389:495701f1-f97f-455f-a35d-c6fc320423e8,1597044274390:5b6373d9-c3c4-4daa-8ac0-1db9f74311b4
7596,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597044274388:a76c0ee8-ca11-4052-908e-36f695248c61,1597044274388:06306926-a478-487a-b5d0-c24e6ee60e39
8210,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597044274382:028bdfd4-a69e-4652-b514-e9c05b448fe4,1597044274382:af13f09a-2852-48f3-a2fb-a44e7c740cbc
8211,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",No,1597044274382:028bdfd4-a69e-4652-b514-e9c05b448fe4,1597044274382:af13f09a-2852-48f3-a2fb-a44e7c740cbc
11118,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",No,1597044274357:03babb8d-cda5-478b-b793-92f2fcdc8995,1597044274357:a668287c-0bec-43e7-b554-467008615777
20239,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597044274273:b031b9bf-7f31-4b5a-9fc8-cf0d94be722d,1597044274273:fbf455ac-8da7-4476-8b75-09c51d77692c
24357,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",No,1597044274231:de2b7dc6-8fe1-4e06-a3fe-7ace270275c0,1597044274231:e3339cf6-4baa-46a9-9032-c0bc645aed6b
26687,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597044274207:4090f2fc-a3e5-429a-949a-8c8c84b92855,1597044274207:801fd5d5-8605-4c0e-a908-3cb6c870f1e2
28195,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",Yes,1597044274192:c4db44e6-3be2-4ad0-9871-16a8e3e4ee1a,1597044274192:fdaa3426-4260-49bf-8e22-dccd50101c68
29543,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597044274179:e1981ede-127f-4fbc-9096-eef834754192,1597044274179:3273f889-f813-42cb-9e21-156a0a086b94
29664,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597044274178:c9867c0e-54e0-4f31-a0ec-adacb1711f32,1597044274178:7e9b3284-e402-4b5f-b85a-54664ebde336
33429,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","calledMethod == ""push""",No,1597044274141:ef3978e6-fa39-4d00-9ce5-e9b17fa29af4,1597044274141:0c980546-87e0-4db8-b9f8-a003287b748b
35434,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597044274122:683b2e16-0346-42a9-a29b-94d512b57a2f,1597044274122:08efda25-8685-4e30-af8a-8d2717fb7f83
40615,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597044274064:3700a3f5-e6b9-4041-b826-674094a6f175,1597044274064:f7709a42-77f2-4596-aba6-16cb90170663
40795,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597044274062:0e0f1dc0-36d8-4038-8ab7-e1eb32f2da2b,1597044274062:488cfe00-3587-4e7b-813d-5e02596c71e2
