,index,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
40,42,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597059728718:d69afb08-d83a-48eb-8eb3-c90d652d8a09,1597059728718:ff664087-038d-4b5e-bc82-6ae6fdcb2401,0,,1,['13'],0,
41,43,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728718:d69afb08-d83a-48eb-8eb3-c90d652d8a09,1597059728718:ff664087-038d-4b5e-bc82-6ae6fdcb2401,0,,1,['13'],0,
42,44,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597059728714:f8350af7-e7ec-496a-b0ea-f6f2e940d9e3,1597059728714:ac571827-cfdd-451a-b09d-9d2caf45804e,0,,0,,0,
43,45,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597059728714:50dd5dc5-b709-4469-ac7c-c1a40c2fa9a0,1597059728714:b9efc0cd-5543-406b-b46e-1a4bf380552b,0,,0,,0,
44,46,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597059728712:d33c09db-fc44-48f7-973b-86336a304222,1597059728712:09fedefb-9db5-46e4-b0e3-5b20a1ef80c3,0,,0,,0,
45,47,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597059728712:a4e2059a-ed04-4fb1-a079-ccec8a8e3a44,1597059728712:29ee18fc-866b-4b24-927c-0ab0e7b23198,0,,0,,0,
46,48,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597059728708:606f56b6-3913-4dc0-b002-52dc3a42d412,1597059728708:be469af1-3075-4fe1-9cb0-ce1413205bf3,0,,1,['13'],0,
47,49,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597059728696:c23285c7-9b14-4694-8245-eb60b3ea3f79,1597059728696:bf779854-498e-49b3-982b-2dc5dea451da,0,,1,['13'],0,
48,50,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597059728696:c23285c7-9b14-4694-8245-eb60b3ea3f79,1597059728696:bf779854-498e-49b3-982b-2dc5dea451da,0,,1,['13'],0,
49,51,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes,1597059728689:c3e59927-395c-40ae-a8bb-cf9a5358d297,1597059728689:64008954-baf2-40c8-b3f6-baf715e018f1,0,,0,,0,
50,52,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597059728689:a5641712-c576-480d-842a-58c0ad1ceb64,1597059728689:9e1f8b22-991b-4c35-aef1-ac124b8dfe32,0,,1,['16'],0,
51,53,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597059728682:b2dfcb36-b874-4d8d-af59-1ccc2eef54c9,1597059728683:6e0d6cfb-418b-431e-ba81-9ed2d2067d56,0,,1,['13'],0,
52,54,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597059728682:b2dfcb36-b874-4d8d-af59-1ccc2eef54c9,1597059728682:4a35371b-1ec1-4009-9e15-16ee5b2764d4,0,,1,['13'],0,
