,index,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
10,19,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597052895068:d16288a6-e232-4fdb-b87c-0c9227ad82fa,1597052895068:ed7d59fd-8e53-49a4-a662-4c5b7615540d,0,,1,['13'],0,
11,20,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597052895068:d16288a6-e232-4fdb-b87c-0c9227ad82fa,1597052895068:ed7d59fd-8e53-49a4-a662-4c5b7615540d,0,,0,,0,
12,21,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597052895063:058ce25a-1c29-4561-ad00-afc5d8db8525,1597052895063:9afac87c-f2e6-4128-a90f-48375117b26d,0,,1,['13'],0,
13,22,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597052895053:2db22383-9145-472b-92b3-986912b019ab,1597052895053:17a1ca41-6a85-461a-9213-07c0064add60,0,,0,,0,
14,24,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597052895015:72664a86-8ca0-4b7d-b949-6d2838f2acab,1597052895016:76c4a492-4c5e-4f80-9ac4-366f1086375e,0,,1,['13'],0,
15,25,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597052895010:9221fc23-2612-4eba-9357-a0e191fcd2ca,1597052895011:7414cf90-206c-4102-8ef9-2722c58ebd1b,0,,1,['13'],0,
16,26,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597052895004:115438d8-0d31-471a-aacc-24de8507f54c,1597052895004:a38a7e26-1617-4a0b-bba6-e8cfb0a8a369,0,,1,['16'],0,
17,27,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597052895003:f90ea525-cf8e-42db-9833-32cd85ca43e5,1597052895003:c1f5f3d8-e268-4de9-9289-005d4b5c841e,0,,1,['13'],0,
18,28,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597052895003:f90ea525-cf8e-42db-9833-32cd85ca43e5,1597052895003:c1f5f3d8-e268-4de9-9289-005d4b5c841e,0,,0,,0,
19,30,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",Yes,1597052894883:89dde5bf-c436-4dac-8dac-b63291a35b23,1597052894883:001a6243-c358-4255-ae13-9291f6fd141b,0,,0,,0,
