,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6078,1597060821531:1742117e-c274-4208-b957-7ba7e18d2dec,1597060821531:4081804b-bc2b-459f-9978-cc23755cb1d1,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6079,1597060821531:1742117e-c274-4208-b957-7ba7e18d2dec,1597060821531:4081804b-bc2b-459f-9978-cc23755cb1d1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6080,1597060821531:1742117e-c274-4208-b957-7ba7e18d2dec,1597060821531:4081804b-bc2b-459f-9978-cc23755cb1d1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6082,1597060821531:1742117e-c274-4208-b957-7ba7e18d2dec,1597060821531:139074e5-dbef-41db-948d-8f97cbda17d5,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6083,1597060821531:1742117e-c274-4208-b957-7ba7e18d2dec,1597060821531:139074e5-dbef-41db-948d-8f97cbda17d5,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6085,1597060821530:f09f9e88-e8fd-453d-ae8b-0c858e2bc0e3,1597060821530:82ede486-b6c8-42e1-87bd-3f885c77013c,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6086,1597060821530:f09f9e88-e8fd-453d-ae8b-0c858e2bc0e3,1597060821530:82ede486-b6c8-42e1-87bd-3f885c77013c,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6087,1597060821530:f09f9e88-e8fd-453d-ae8b-0c858e2bc0e3,1597060821530:82ede486-b6c8-42e1-87bd-3f885c77013c,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6089,1597060821530:bfdeff51-fe15-427a-8c09-b403a446e970,1597060821530:d6f0f2fc-67e5-4cdf-9f66-5b2a00b8cc80,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6090,1597060821530:bfdeff51-fe15-427a-8c09-b403a446e970,1597060821530:d6f0f2fc-67e5-4cdf-9f66-5b2a00b8cc80,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6091,1597060821530:bfdeff51-fe15-427a-8c09-b403a446e970,1597060821530:d6f0f2fc-67e5-4cdf-9f66-5b2a00b8cc80,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
