,testId,instanceId,size,isEmpty,peek_obj_type,calledMethod,diff
137,1597050830310:b9b415f3-5d51-4a4a-81a4-6a774f557db2,1597050830311:dca229bc-bd00-4e51-903a-ec2f704e0289,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
138,1597050830310:b9b415f3-5d51-4a4a-81a4-6a774f557db2,1597050830311:dca229bc-bd00-4e51-903a-ec2f704e0289,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
140,1597050830310:b9b415f3-5d51-4a4a-81a4-6a774f557db2,1597050830310:c638ece8-6d5b-4e8d-8a6b-b9d392d601aa,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
141,1597050830310:b9b415f3-5d51-4a4a-81a4-6a774f557db2,1597050830310:c638ece8-6d5b-4e8d-8a6b-b9d392d601aa,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes
143,1597050830310:a12d4952-6171-4172-9a76-605fea74dbfa,1597050830310:d39282b7-4d59-4ed9-8bac-6bc23a145556,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
144,1597050830310:a12d4952-6171-4172-9a76-605fea74dbfa,1597050830310:d39282b7-4d59-4ed9-8bac-6bc23a145556,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
146,1597050830310:a12d4952-6171-4172-9a76-605fea74dbfa,1597050830310:bf397ab3-cc50-41e9-82de-e295873d5e50,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
147,1597050830310:a12d4952-6171-4172-9a76-605fea74dbfa,1597050830310:bf397ab3-cc50-41e9-82de-e295873d5e50,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
148,1597050830310:a12d4952-6171-4172-9a76-605fea74dbfa,1597050830310:bf397ab3-cc50-41e9-82de-e295873d5e50,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
149,1597050830310:a12d4952-6171-4172-9a76-605fea74dbfa,1597050830310:bf397ab3-cc50-41e9-82de-e295873d5e50,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
150,1597050830310:a12d4952-6171-4172-9a76-605fea74dbfa,1597050830310:bf397ab3-cc50-41e9-82de-e295873d5e50,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
152,1597050830310:2074fa3c-c197-4c96-9a8b-589ad74eca25,1597050830310:8f40d952-4e5f-4abd-b3fd-03fc75efde25,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
153,1597050830310:2074fa3c-c197-4c96-9a8b-589ad74eca25,1597050830310:8f40d952-4e5f-4abd-b3fd-03fc75efde25,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
156,1597050830310:2074fa3c-c197-4c96-9a8b-589ad74eca25,1597050830310:3e9538f0-89cc-42ee-a04c-2125d002d851,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
158,1597050830310:195e5a1f-3ef1-4029-a4c3-4011aec58ec9,1597050830310:c747d54f-59b1-4f2e-a129-3cf9d6650a30,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
159,1597050830310:195e5a1f-3ef1-4029-a4c3-4011aec58ec9,1597050830310:c747d54f-59b1-4f2e-a129-3cf9d6650a30,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
161,1597050830310:195e5a1f-3ef1-4029-a4c3-4011aec58ec9,1597050830310:8281eb5d-294a-4f69-a0b9-5c0bca8fdbc7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
162,1597050830310:195e5a1f-3ef1-4029-a4c3-4011aec58ec9,1597050830310:8281eb5d-294a-4f69-a0b9-5c0bca8fdbc7,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
163,1597050830310:195e5a1f-3ef1-4029-a4c3-4011aec58ec9,1597050830310:8281eb5d-294a-4f69-a0b9-5c0bca8fdbc7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
164,1597050830310:195e5a1f-3ef1-4029-a4c3-4011aec58ec9,1597050830310:8281eb5d-294a-4f69-a0b9-5c0bca8fdbc7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
165,1597050830310:195e5a1f-3ef1-4029-a4c3-4011aec58ec9,1597050830310:8281eb5d-294a-4f69-a0b9-5c0bca8fdbc7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
167,1597050830310:12d68316-20c2-43a3-bf0a-fd90ef6f3941,1597050830310:e5fe84e8-19fb-4507-89d3-8520c52312c8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
168,1597050830310:12d68316-20c2-43a3-bf0a-fd90ef6f3941,1597050830310:e5fe84e8-19fb-4507-89d3-8520c52312c8,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes
