,size,isEmpty,peek_obj_type,diff,testId,instanceId
2676,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597059728708:606f56b6-3913-4dc0-b002-52dc3a42d412,1597059728708:be469af1-3075-4fe1-9cb0-ce1413205bf3
4040,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597059728696:c23285c7-9b14-4694-8245-eb60b3ea3f79,1597059728696:bf779854-498e-49b3-982b-2dc5dea451da
4041,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597059728696:c23285c7-9b14-4694-8245-eb60b3ea3f79,1597059728696:bf779854-498e-49b3-982b-2dc5dea451da
5530,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597059728682:b2dfcb36-b874-4d8d-af59-1ccc2eef54c9,1597059728683:6e0d6cfb-418b-431e-ba81-9ed2d2067d56
5564,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597059728682:b2dfcb36-b874-4d8d-af59-1ccc2eef54c9,1597059728682:4a35371b-1ec1-4009-9e15-16ee5b2764d4
8134,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597059728657:42a0e8f4-ec6c-4cf3-a389-3c1abdc19382,1597059728657:3ce2b201-5927-49b5-9ec8-f4ad282fba9b
10995,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597059728626:b698826e-3073-4ba9-bc4c-21f5357cc2cf,1597059728626:69902942-6110-46b2-9e8d-905f92d4821d
20228,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597059728525:04bc1ffa-2bc5-4528-a897-c568134fd92d,1597059728525:6520c4cc-d634-49f6-a164-ab8388a49fcf
29699,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597059728402:3512fe41-8ba0-4b14-b565-d36e0f31eaa7,1597059728402:d26ee0a3-d050-43e2-af5d-377472b9b4da
33406,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""",Yes,1597059728344:c6dad64f-4b13-41a1-86cd-2baf5252f3a0,1597059728344:f23c5ce0-0227-4f76-bf8c-afc7cbcd80ab
35361,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597059728300:c878cf9e-3a26-4015-a690-67e2fbea5500,1597059728300:52420553-c621-4d75-8502-3bff22e88cd8
40698,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597059728223:2cee7095-e3b0-4afc-8863-0fbb880a7061,1597059728223:18c81d17-231e-4b4a-abb5-e1d52f5bd9c0
