,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,pushInput_p,diff,testId,instanceId
1609,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058037:5080f95f-604e-40ab-91a5-27b4169aa391,1596542058037:c9933457-9042-465c-9615-fc3a26e6caae
1648,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:c322fefe-3b6c-4177-a600-c55684967004
1674,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","pushInput == ""class java.lang.Short""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5
1675,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5
1676,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5
1677,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5
1733,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058036:eebf7779-9dcb-4b1c-a504-370c14e19293,1596542058036:94f70623-ec4a-4853-a567-f6261fe1c698
1734,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058036:eebf7779-9dcb-4b1c-a504-370c14e19293,1596542058036:94f70623-ec4a-4853-a567-f6261fe1c698
1947,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058035:2cef0082-3e7b-4514-9a05-923f44ecc097,1596542058035:d66ba060-3d04-477f-98ef-b2fe3ba7ad6d
1960,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058034:fc22bacc-9810-4d10-8a31-3e9c6a5cb7bf,1596542058034:51ff72a4-1071-4822-a4d8-4b825bb80954
1968,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542058034:fc22bacc-9810-4d10-8a31-3e9c6a5cb7bf,1596542058034:3828c378-a293-4351-baf7-a25da38198a2
2008,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058034:770109b5-23f2-4df6-8429-8a3bdc5231a0,1596542058034:b31469bb-9ae2-4e3e-8802-a8898d182c26
2025,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058034:770109b5-23f2-4df6-8429-8a3bdc5231a0,1596542058034:84f88d17-e568-40c3-ae5d-680fef66f782
2026,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058034:770109b5-23f2-4df6-8429-8a3bdc5231a0,1596542058034:84f88d17-e568-40c3-ae5d-680fef66f782
2050,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058034:14cb7e3b-2a12-49cc-8dc6-99dd372a17cc,1596542058034:88c1b186-acbe-4aad-9838-224c97bb1297
2067,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058034:14cb7e3b-2a12-49cc-8dc6-99dd372a17cc,1596542058034:6ddc308b-d500-4d36-83cb-97277ace3252
2109,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058033:9e122d92-b904-4261-8703-526452946e63,1596542058033:6374f233-9fc1-4c80-b4d3-3647c5f1ad5b
2110,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058033:9e122d92-b904-4261-8703-526452946e63,1596542058033:6374f233-9fc1-4c80-b4d3-3647c5f1ad5b
2141,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""","pushInput == ""class java.lang.Integer""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058033:6cac638c-c1ab-4261-8b97-807f050c0908,1596542058033:c4eedd78-7745-4583-8ab0-aabd1a9a2026
2142,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542058033:6cac638c-c1ab-4261-8b97-807f050c0908,1596542058033:c4eedd78-7745-4583-8ab0-aabd1a9a2026
2237,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058032:f3e8ad04-f4b1-4a8b-9d85-0a564ce41036,1596542058032:80ff61b1-f48d-4463-bc7e-b2d8901c77da
2296,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058032:d9488efa-28a0-46cb-9e0d-8d8d535363df,1596542058032:45446a95-2ea0-4e32-b4e6-1e54e860e2e7
2297,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058032:d9488efa-28a0-46cb-9e0d-8d8d535363df,1596542058032:45446a95-2ea0-4e32-b4e6-1e54e860e2e7
2463,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058030:ac1e4ea6-7cb7-4e9b-a8d6-157e66719996,1596542058031:d7eae93d-ea4f-442d-9103-77081a5c7073
2464,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058030:ac1e4ea6-7cb7-4e9b-a8d6-157e66719996,1596542058031:d7eae93d-ea4f-442d-9103-77081a5c7073
2490,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542058030:ac1e4ea6-7cb7-4e9b-a8d6-157e66719996,1596542058031:63199117-2d98-4bf6-81c0-973cbde341e9
2610,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058029:a88b8485-b772-4610-9af1-57d5a92fb77a,1596542058029:ea56dfc1-c6c2-42a2-80fc-0ef31ce225bc
2611,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058029:a88b8485-b772-4610-9af1-57d5a92fb77a,1596542058029:ea56dfc1-c6c2-42a2-80fc-0ef31ce225bc
2656,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058029:3db3268f-65ef-4fa5-a20d-f06af2d6e6fb,1596542058029:efb7d727-8c9e-4336-bb14-cad6c5cb60ba
2785,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058028:b2e9948b-6547-45ab-9d15-a455f8063cb1,1596542058028:6f868589-9689-41d5-a26e-463974971591
2853,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058027:8ba2a50b-d02f-497b-93fc-5d56de458557,1596542058027:9aff97e9-5759-497b-9335-99d76296b2f3
2933,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058027:67dcb915-c277-4ce2-81ea-f0dc72fb018f,1596542058027:707724ae-1e32-46e8-80de-30b242df4bb0
2934,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058027:67dcb915-c277-4ce2-81ea-f0dc72fb018f,1596542058027:707724ae-1e32-46e8-80de-30b242df4bb0
2935,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058027:67dcb915-c277-4ce2-81ea-f0dc72fb018f,1596542058027:707724ae-1e32-46e8-80de-30b242df4bb0
3011,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058026:e9f75ab5-4767-4896-8e94-1b43cad59aed,1596542058026:49eb834a-34d6-4dc5-a118-7121684a722e
3057,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058026:b206ecb5-7e36-4e87-aa94-15736575945f,1596542058026:29e8bb62-ad28-4f44-b246-59487458ce91
3115,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058025:fda0676f-8028-4ee2-ba4a-0e83e91bfaca,1596542058025:c98d9dfb-21d4-4f8b-80b9-8e9394c6401e
3213,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542058024:588fdc4e-f3a0-4b24-ac9d-33090e8f38fd,1596542058024:f7ecc14f-ea91-4450-9029-0877ea0a390e
3865,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058019:3bd4a80d-400c-491d-9ddf-db2096df7a5a,1596542058019:5432ac76-5409-4676-bc9d-1c358f8e6ec2
3956,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058018:feb46504-0341-45bf-8ce1-6ba41f6a72f1,1596542058018:39fb1846-b298-4003-98ee-9c9ea4f9bc3b
3957,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058018:feb46504-0341-45bf-8ce1-6ba41f6a72f1,1596542058018:39fb1846-b298-4003-98ee-9c9ea4f9bc3b
4091,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058017:4740510f-0f4f-4a4c-aea5-679672b1e418,1596542058018:f2b59859-74cd-4dc8-852e-1ca4ad02afa2
4139,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","pushInput == ""class java.lang.Double""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542058017:4740510f-0f4f-4a4c-aea5-679672b1e418,1596542058017:08cf7ad5-8e4c-4cd9-9d8a-fd5a7b0a3c94
4140,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058017:4740510f-0f4f-4a4c-aea5-679672b1e418,1596542058017:08cf7ad5-8e4c-4cd9-9d8a-fd5a7b0a3c94
4163,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058017:223be227-ffeb-4a88-9192-0337e979e975,1596542058017:6e50847a-86b7-4756-bc12-16ae05c23033
4202,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058016:a33ec22d-e3ac-4dbb-8b66-fbd7fa8df2fd,1596542058016:3244ceaa-2cd9-4a6a-bd21-b1f91b856679
4262,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058016:6476967b-1a0c-4c2c-8d5f-c1418ee77173,1596542058016:98e51d82-e013-440c-906f-6b41a78ea616
4372,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058015:374f2365-de30-4891-9406-1d733d93952c,1596542058015:e99daa67-f157-4042-aa09-6465dab68814
4710,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058013:31d51ca9-acca-4326-83c3-18ea00a357a3,1596542058013:68bb12cd-0292-484d-a7fb-742bd7a85ead
4728,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542058013:201306af-d06e-4e0c-bbc1-7582d2164307,1596542058013:2b850f3b-ac58-4eb8-bdfb-1ad47a2383b1
4729,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058013:201306af-d06e-4e0c-bbc1-7582d2164307,1596542058013:2b850f3b-ac58-4eb8-bdfb-1ad47a2383b1
4860,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058011:dbc7b2f5-c30b-448b-b962-36fae9d12ac1,1596542058011:90962100-9624-4ac2-a694-748775a22045
4884,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058011:dbc7b2f5-c30b-448b-b962-36fae9d12ac1,1596542058011:029a5f47-cf1a-4b5c-9c23-bc1ec3f81f36
4886,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058011:dbc7b2f5-c30b-448b-b962-36fae9d12ac1,1596542058011:029a5f47-cf1a-4b5c-9c23-bc1ec3f81f36
4887,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058011:dbc7b2f5-c30b-448b-b962-36fae9d12ac1,1596542058011:029a5f47-cf1a-4b5c-9c23-bc1ec3f81f36
4912,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058011:bc959495-b2ba-49cf-89e8-caf6c892f321,1596542058011:7ea3d146-dfed-48db-842e-c6fe141fc2be
4930,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542058011:bc959495-b2ba-49cf-89e8-caf6c892f321,1596542058011:16abebf4-14d5-4844-97d5-6ebbb50bb6ec
4931,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058011:bc959495-b2ba-49cf-89e8-caf6c892f321,1596542058011:16abebf4-14d5-4844-97d5-6ebbb50bb6ec
5067,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058010:4140000b-0742-41b9-bbb7-2269bc0bb2cc,1596542058010:258180fe-cdbf-4802-ac29-eb5813e4cdd4
5241,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058009:317e7b82-68ac-4893-8ed0-f77f398e7e3d,1596542058009:50453044-40a9-4bc5-95e9-e4af6dd6561f
5242,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058009:317e7b82-68ac-4893-8ed0-f77f398e7e3d,1596542058009:50453044-40a9-4bc5-95e9-e4af6dd6561f
5493,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058007:08c41669-4a38-4bb4-819e-304f6e873d67,1596542058007:0406d961-df0d-411d-9f8a-72d6d35d53ff
5556,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""","pushInput == ""class java.lang.Integer""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542058006:4537ba15-4f5f-4db4-879a-dfa00436a7e8,1596542058006:8156613d-f454-4aca-bf28-91f8c5553c61
