,index,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
19,41,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""",Yes,1597052895068:d16288a6-e232-4fdb-b87c-0c9227ad82fa,1597052895068:ed7d59fd-8e53-49a4-a662-4c5b7615540d,6,"['6', '54', '73', '135', '210', '385']",0,,6,"['6', '54', '73', '135', '210', '385']"
20,45,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597052895063:058ce25a-1c29-4561-ad00-afc5d8db8525,1597052895063:9afac87c-f2e6-4128-a90f-48375117b26d,40,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '183', '184', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']",3,"['0', '1', '290']",40,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '183', '184', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']"
21,46,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597052895058:acf33ef0-4261-4433-87b2-f0af0d95092b,1597052895059:0e9b96a2-4bb3-42bb-8187-cf3fda78ef4e,15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']",3,"['26', '183', '414']",15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']"
22,47,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",Yes,1597052895058:acf33ef0-4261-4433-87b2-f0af0d95092b,1597052895058:bc642503-6877-4ea0-94ba-b245fbf021fc,16,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '290', '385']",4,"['28', '151', '183', '414']",16,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '290', '385']"
23,50,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",Yes,1597052895056:2f1a6328-ca77-4c94-b52b-5787e77901ad,1597052895056:5c52fe31-f694-440e-9655-81b30f6daaeb,38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']",3,"['0', '1', '290']",38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']"
24,51,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""",Yes,1597052895056:2f1a6328-ca77-4c94-b52b-5787e77901ad,1597052895056:0529d2dd-9b4f-4683-9a99-a3ba05911305,15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']",3,"['26', '183', '414']",15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']"
25,53,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597052895053:2db22383-9145-472b-92b3-986912b019ab,1597052895053:17a1ca41-6a85-461a-9213-07c0064add60,0,,3,"['26', '183', '184']",0,
26,54,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597052895050:08c2be4a-fae4-49fb-81c1-29c80368d934,1597052895051:c70f4684-d90b-44d3-9ea9-aaf4307e8954,15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']",3,"['26', '183', '414']",15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']"
27,55,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",Yes,1597052895050:08c2be4a-fae4-49fb-81c1-29c80368d934,1597052895051:c70f4684-d90b-44d3-9ea9-aaf4307e8954,38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']",3,"['0', '1', '290']",38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']"
28,61,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597052895015:72664a86-8ca0-4b7d-b949-6d2838f2acab,1597052895016:76c4a492-4c5e-4f80-9ac4-366f1086375e,40,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '183', '184', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']",3,"['0', '1', '290']",40,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '183', '184', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']"
29,62,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",Yes,1597052895015:72664a86-8ca0-4b7d-b949-6d2838f2acab,1597052895016:76c4a492-4c5e-4f80-9ac4-366f1086375e,15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']",3,"['26', '183', '414']",15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']"
30,64,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597052895010:9221fc23-2612-4eba-9357-a0e191fcd2ca,1597052895011:7414cf90-206c-4102-8ef9-2722c58ebd1b,0,,3,"['183', '184', '290']",0,
31,67,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""",Yes,1597052895004:115438d8-0d31-471a-aacc-24de8507f54c,1597052895004:a38a7e26-1617-4a0b-bba6-e8cfb0a8a369,0,,4,"['26', '183', '184', '267']",0,
32,69,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",Yes,1597052895003:f90ea525-cf8e-42db-9833-32cd85ca43e5,1597052895003:c1f5f3d8-e268-4de9-9289-005d4b5c841e,0,,3,"['183', '184', '290']",0,
33,70,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",Yes,1597052895003:f90ea525-cf8e-42db-9833-32cd85ca43e5,1597052895003:c1f5f3d8-e268-4de9-9289-005d4b5c841e,0,,3,"['26', '183', '184']",0,
34,71,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""pop""",Yes,1597052895003:f90ea525-cf8e-42db-9833-32cd85ca43e5,1597052895003:c1f5f3d8-e268-4de9-9289-005d4b5c841e,0,,1,['267'],0,
35,73,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",Yes,1597052895000:e4e1f63a-7234-4054-aa7c-7c15d1651dc7,1597052895000:f676d40d-1b3f-4d25-bed7-414538e34e14,38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']",5,"['0', '1', '129', '267', '290']",38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']"
36,74,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597052895000:e4e1f63a-7234-4054-aa7c-7c15d1651dc7,1597052895000:f676d40d-1b3f-4d25-bed7-414538e34e14,0,,3,"['183', '184', '290']",0,
37,76,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",Yes,1597052894996:16cc775b-9e37-458a-90ec-b3059de1884c,1597052894996:9f28eae8-5813-4d22-b0dc-f6120d5b3d49,0,,4,"['26', '183', '184', '267']",0,
38,79,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597052894979:705dfbb4-30cc-42df-b832-497923aab742,1597052894979:99228921-ed2d-4a1e-902d-2bad3595df8b,15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']",3,"['26', '183', '414']",15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']"
39,82,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",Yes,1597052894962:e23b931d-90d5-4524-9de9-52dbccb00ab7,1597052894962:5fa1af66-e598-4a4b-8d3e-8621cffca17b,38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']",3,"['0', '1', '290']",38,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']"
40,87,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""pop""",Yes,1597052894895:6f9d36b5-9fe4-4915-a943-747b20709a14,1597052894895:c6bbfc7a-fc82-47de-a5c8-5f6710e30bad,6,"['6', '54', '73', '135', '210', '385']",0,,6,"['6', '54', '73', '135', '210', '385']"
41,89,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",Yes,1597052894883:89dde5bf-c436-4dac-8dac-b63291a35b23,1597052894883:001a6243-c358-4255-ae13-9291f6fd141b,0,,3,"['26', '183', '184']",0,
42,95,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597052894839:69bc8a7d-3107-4eae-9769-be0f03bca3bf,1597052894839:35317e12-fbb6-4b93-bc9d-b5dc5027640c,0,,3,"['183', '184', '290']",0,
43,97,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""pop""",Yes,1597052894798:2e8c7601-3dab-42c5-8c7a-a495bf089183,1597052894798:67a67d52-bad9-42ac-9e44-c75f2820be0a,6,"['6', '54', '73', '135', '210', '385']",0,,6,"['6', '54', '73', '135', '210', '385']"
44,98,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597052894786:cc7ca69b-c534-4f2e-ad4e-1f22ab0fe798,1597052894786:5b9e48ae-6876-41f7-9284-5bf9421a2795,6,"['6', '54', '73', '135', '210', '385']",0,,6,"['6', '54', '73', '135', '210', '385']"
45,100,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597052894590:fb759cf9-fdc5-4663-a70b-f90ae6e4c39e,1597052894590:0431383c-150d-4b89-bfc1-73a26f5ae012,15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']",3,"['26', '183', '414']",15,"['6', '54', '62', '73', '77', '79', '90', '92', '135', '154', '171', '195', '210', '212', '385']"
