,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
32,622,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",No,1596542058046:da6a1f5c-92b1-40e2-b02d-794372a6d194,1596542058046:36ed2d14-c9c4-46cd-94cf-1e581ee53d28,0,,1,['1'],0,
33,648,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""",No,1596542058046:52c07aa3-5803-49c7-939d-94b9aa579226,1596542058046:ba87ec0b-d6c7-42c9-af77-243ff326312e,0,,1,['1'],0,
34,708,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b,0,,2,"['2', '3']",0,
35,710,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b,0,,1,['3'],0,
36,711,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b,0,,1,['0'],0,
37,764,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:d3166bee-1526-4574-a65c-cb7cfa3bf67f,0,,2,"['0', '2']",0,
38,809,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:2c5496a7-2e1d-4d24-8166-0dccd97033ee,0,,2,"['2', '3']",0,
39,816,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2,0,,2,"['0', '2']",0,
40,817,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2,0,,2,"['2', '3']",0,
41,940,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",No,1596542058044:716027d9-ad58-4173-a5af-c4dfd0f66b31,1596542058044:3c45a7f9-39ba-41f2-be95-b9405f8d85a0,0,,1,['2'],0,
42,941,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",No,1596542058044:716027d9-ad58-4173-a5af-c4dfd0f66b31,1596542058044:3c45a7f9-39ba-41f2-be95-b9405f8d85a0,0,,1,['3'],0,
43,964,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",No,1596542058043:cf21ddd1-012e-444b-a7ec-e632a086a1fe,1596542058043:949a3f6c-a1e0-4c90-8685-ba79941754ab,0,,2,"['0', '2']",0,
44,1354,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",No,1596542058040:8f67e3a3-949f-47b9-840e-d6f2f653ba71,1596542058040:cdefbab5-4324-4f01-ba97-53263006e740,0,,2,"['2', '3']",0,
45,1674,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5,0,,1,['2'],0,
46,1676,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5,0,,1,['2'],0,
47,1960,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",No,1596542058034:fc22bacc-9810-4d10-8a31-3e9c6a5cb7bf,1596542058034:51ff72a4-1071-4822-a4d8-4b825bb80954,0,,1,['1'],0,
48,2025,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",No,1596542058034:770109b5-23f2-4df6-8429-8a3bdc5231a0,1596542058034:84f88d17-e568-40c3-ae5d-680fef66f782,0,,1,['0'],0,
49,2237,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",No,1596542058032:f3e8ad04-f4b1-4a8b-9d85-0a564ce41036,1596542058032:80ff61b1-f48d-4463-bc7e-b2d8901c77da,0,,1,['1'],0,
50,2296,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",No,1596542058032:d9488efa-28a0-46cb-9e0d-8d8d535363df,1596542058032:45446a95-2ea0-4e32-b4e6-1e54e860e2e7,0,,1,['3'],0,
51,4139,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",No,1596542058017:4740510f-0f4f-4a4c-aea5-679672b1e418,1596542058017:08cf7ad5-8e4c-4cd9-9d8a-fd5a7b0a3c94,0,,2,"['1', '2']",0,
52,4886,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",No,1596542058011:dbc7b2f5-c30b-448b-b962-36fae9d12ac1,1596542058011:029a5f47-cf1a-4b5c-9c23-bc1ec3f81f36,0,,1,['2'],0,
53,4887,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",No,1596542058011:dbc7b2f5-c30b-448b-b962-36fae9d12ac1,1596542058011:029a5f47-cf1a-4b5c-9c23-bc1ec3f81f36,0,,0,,0,
54,4930,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""",No,1596542058011:bc959495-b2ba-49cf-89e8-caf6c892f321,1596542058011:16abebf4-14d5-4844-97d5-6ebbb50bb6ec,0,,1,['0'],0,
55,5241,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",No,1596542058009:317e7b82-68ac-4893-8ed0-f77f398e7e3d,1596542058009:50453044-40a9-4bc5-95e9-e4af6dd6561f,0,,1,['0'],0,
56,5556,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",No,1596542058006:4537ba15-4f5f-4db4-879a-dfa00436a7e8,1596542058006:8156613d-f454-4aca-bf28-91f8c5553c61,0,,2,"['1', '2']",0,
57,5565,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""pop""",No,1596542058006:4537ba15-4f5f-4db4-879a-dfa00436a7e8,1596542058006:5a37b9c0-a914-4d8f-b314-b6f92d209103,0,,1,['1'],0,
58,6199,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",No,1596542058001:f275d1ac-7285-4601-9ae0-b8b5495a699f,1596542058001:6e3f14c0-39f6-4d20-9d32-988d74d3779c,0,,1,['1'],0,
59,7583,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",No,1596542057991:bce0b286-cc2d-4a06-aa13-d9e8f6cf7233,1596542057991:cad59aa1-78a4-4bef-87b0-dfc584a31b92,0,,0,,0,
60,7990,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",No,1596542057988:1af09978-ceb8-46f3-89a7-32c4d6dcb4c6,1596542057988:40122733-b3e7-49a0-8a8d-21ab0db4b9be,0,,1,['3'],0,
61,8160,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",No,1596542057986:840d870f-a4c8-42cb-ad95-9e0c48922daf,1596542057986:fac50f0b-d27a-43e1-b8a5-53d38dbfd2f8,0,,1,['2'],0,
62,8161,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",No,1596542057986:840d870f-a4c8-42cb-ad95-9e0c48922daf,1596542057986:fac50f0b-d27a-43e1-b8a5-53d38dbfd2f8,0,,0,,0,
63,8610,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","calledMethod == ""push""",No,1596542057983:0ecd6247-afba-4c16-a93d-f12706445680,1596542057983:7c5ef114-9f34-4102-97df-09eceaf6f74c,0,,2,"['2', '3']",0,
64,11062,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",No,1596542057962:5dad5c54-7c32-4532-86bc-755705d22f5e,1596542057962:6b075d48-b48b-446d-b9b3-6aa9fd0b9766,0,,2,"['1', '2']",0,
65,11568,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",No,1596542057959:79922c04-0e5d-4527-86cf-2ccdd1cb921e,1596542057959:a0334df9-5d4a-4b7e-9096-e248f789fcd8,0,,1,['2'],0,
66,11569,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",No,1596542057959:79922c04-0e5d-4527-86cf-2ccdd1cb921e,1596542057959:a0334df9-5d4a-4b7e-9096-e248f789fcd8,0,,0,,0,
67,11889,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",No,1596542057956:dbd55c29-0864-4be8-b205-30e3e0af493d,1596542057956:31be200e-b011-46a7-8587-863cba499830,0,,2,"['2', '3']",0,
68,17312,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",No,1596542057911:68a7a4f7-a5b9-4de1-b80d-14e4cee93b1f,1596542057911:8c0d0737-3c9d-4b33-9904-f04b84608743,0,,1,['2'],0,
69,19050,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",No,1596542057896:611f6029-a0a3-4153-9e61-e0548309fc3b,1596542057896:7f74dfba-3ccf-4b0b-a034-d1445d0948c5,0,,0,,0,
70,24395,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",No,1596542057852:557b1ee0-eba6-4e2a-83b1-ae9caa02cb6d,1596542057852:92f70ece-d010-4c80-a951-0e75c1d06c38,0,,1,['1'],0,
71,28208,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",No,1596542057815:8463cf7d-0d2c-4c2c-9fae-e42b4b0d22db,1596542057815:f74298dc-7311-4f7b-ab92-da4aad3bbd39,0,,1,['3'],0,
72,29064,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",No,1596542057806:934668e7-0fcf-40ae-a422-e976cd97285b,1596542057806:202cff6b-44fc-4cca-a56c-2f0d4084a7f0,0,,1,['2'],0,
73,29719,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",No,1596542057801:580bbf51-b22a-4c91-8889-904e5bf12c82,1596542057801:91ff394b-4b08-43fd-bfdc-1e7b6ba8b7b1,0,,1,['2'],0,
74,33341,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","calledMethod == ""push""",No,1596542057769:8befaac6-55d0-4ba2-b5c8-0a8f07e6274e,1596542057769:6fa2f3da-733c-47f0-b0cf-90f78284d09e,0,,2,"['1', '2']",0,
75,35312,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""pop""",No,1596542057749:4db149f2-8158-43e2-addf-feebc1aee70b,1596542057749:acfe8af4-aa74-4122-8595-b26227f834cb,0,,1,['0'],0,
